ID,Label
813,Marc Kelly
814,Russell Gunn
815,Dannie Richmond
816,Roger Ramirez
817,Ray Parker Jr.
818,Fred Berthet
819,Charlie Mariano
820,Mark Walker
821,Mami Tomizawa
822,Brian Blade
823,Xiomara Laugart
824,Lee Townsend
825,Bill Reidenbach
826,Wynton Marsalis
827,David Virelles
828,Sal Marquez
829,Daniel Garcia Bruno
830,Allen Eager
831,Freddie Hubbard
832,Chief Bey
833,Vanesse Kibbe
834,Sid McGinnis
835,Leonardo Reis
836,Elly Paspala
837,Fox Fehling
838,Kenny Cox
839,Kevin Turcotte
840,João Moreira
841,Andy Bey
842,Phyllis Smith
843,Abe Laboriel
844,Joe Chambers
845,Mike Peipman
846,Bert Van Den Brink
847,Hui Cox
848,Buster Williams
849,Kenny Werner
850,Louis Spears
851,Curtis Harmon
852,Dave Hagedorn
853,Harold Caldwell
854,Ben Webster
855,Ray Pizzi
856,Peu Meurray
857,Paul Gershman
858,Barbara Durant
859,Dave Sherr
860,Sonny Fortune
861,James Poyser
862,Fabrizio Sotti
863,Richard Groove Holmes
864,Ed Calle
865,Mark Helias
866,Paul Winter
867,Rami Eskelinen
868,John Gilmore
869,Elio Rabbachin
870,Heiri Känzig
871,KT Tunstall
872,Carl Kress
873,César López
874,Lee Lane
875,Mildred Lane
876,Jenny Clark
877,Edwin Russel
878,Foggy Lyttle
879,Vic 'C'
880,Larry Kimpel
881,Delfeayo Marsalis
882,Helen Campo
883,Art Jenkins
884,Greg Adams
885,Uri Caine
886,Sonny Stitt
887,Kobla Ladzekpo
888,Lynn Seaton
889,Leo Wright
890,Marcelo Costa
891,Bill Rekenback
892,Marcio Resende
893,Hank Linderman
894,Gene Ammons
895,Eric Gale
896,Bernard Collins Jr.
897,Woody Shaw
898,Dario Cecchini
899,James Thatcher
900,Christophe Morin
901,Ed Bennett
902,Benny Green
903,John Graas
904,Sal Salvador
905,Eric Marienthal
906,Jeff Kievit
907,C.P. Alexander
908,Michael Bearden
909,Richie Goldberg
910,Alice Coltrane
911,June Gardner
912,Big Black
913,Plas Johnson
914,Danny Quebec West
915,Tunde Jegedee
916,Donald Bailey
917,Pepper Adams
918,Pete Johnson
919,Eddie Diehl
920,Rijeti Pirani
921,Chuck Rainey
922,Mark Peterson
923,Derek Green
924,Tatsuya Sano
925,Shelby Eicher
926,Mark DeRose
927,Bim String Orchestra
928,Kimberley Longstreth
929,Arthur Adams
930,Jumpin' Johnny Sansone
931,Ronnie Burrage
932,Nilson Matta
933,Ron Jenkins
934,Lewis Eley
935,Michael Landau
936,Carneiro
937,Otis Jackson Jr.
938,Alan Palanker
939,Walter Page
940,Sonny Greenwich
941,Dave Jones
942,Eric Montzka
943,Paul Jackson Jr.
944,Hampton Hawes
945,Khalil Rahman
946,Barbara Carroll
947,Bruce Hall
948,Mike Mattos
949,Roland Alexander
950,Maeretha Stewart
951,Brad Mehldau
952,Jon Christensen
953,Michael Miller
954,John Coltrane
955,Jim Culbertson
956,Kevin Toney
957,Jim Markham
958,Rachelle Ferrell
959,Bill Mays
960,Bobby Rush
961,Ian Underwood
962,Gene Cipriano
963,Vincent Henry
964,Abdullah
965,Chris Botti
966,Lee Ranaldo
967,Jean-Pierre Taïeb
968,Boogaloo' Ames
969,Louis Johnson
970,Lester Snell
971,Abdou M'Boup
972,Bobby McFerrin
973,Lena D'Água
974,Lennart Ginman
975,George Taitt
976,Maylin Sevila Brizuela
977,Edmund Gregory
978,Randy Brecker
979,Tata Guines
980,Luca Poggiali
981,Rene Hall
982,Art Farmer
983,Fred Buldrini
984,Brenton Banks
985,Cecil Payne
986,Jerry Brown
987,Ronnie Mathews
988,Howard Roberts
989,Tameka Pullen
990,Frank Martin
991,Stephen Scott
992,Gromyko Collins
993,Christian Howes
994,Keith Pullen
995,Phil Parlapiano
996,Joe Cinderella
997,Roger Hutchinson
998,Bram Wijland
999,Muriel Fowler
1000,Doug Mettome
1001,Milton Cardona
1002,Johnny Coles
1003,Jimmy McGriff
1004,Dadi
1005,Norwood
1006,Teemu Viinikainen
1007,Cleave Guyton
1008,Gary Grant
1009,Carlos Emilio Morales
1010,Keith Copeland
1011,Eduardo Del Barrio
1012,Tani Tabbal
1013,Yossi Fine
1014,Gene Conyers
1015,Maxayn Lewis
1016,Tom Brechtlein
1017,Teri Brown
1018,Wendy Leliveld
1019,Pierre De Bethmann
1020,Julian Priester
1021,Mos Def
1022,Chris Joyner
1023,Juliano Barbosa
1024,Wayne Linsey
1025,Mário Santos
1026,Bob Burgess
1027,Stuart D. Bogie
1028,Mark Feldman
1029,Martijn Vink
1030,John Ellis
1031,Rudy Regalado
1032,Jenny Scheinman
1033,Horia Moroaica
1034,Rolf Delfos
1035,Codaryl 'Cody' Moffett
1036,Greg Hutchinson
1037,CJ Kim
1038,Jack Richmond
1039,Dr. John
1040,David Crawford
1041,Burt Bacharach
1042,Tukka Yoot
1043,Sylvester Goshay
1044,Tinker Barfield
1045,Dwight Dickenson
1046,Joshua Redman
1047,Jan Arnett
1048,Sia
1049,Herman Jackson
1050,Brad Roberts
1051,Radan Kuyumjian
1052,Andy McKee
1053,Lily Alcalay
1054,Steve Cannon
1055,Jimmy Nottingham
1056,Bob Enevoldsen
1057,Kevin Eubanks
1058,Chris Lovejoy
1059,Basilio Márquez
1060,Norman Connors
1061,Altfrid M. Sicking
1062,Sam Jones
1063,Lucumi
1064,Guillermo Rubalcaba
1065,Julie Landsman
1066,Mats Öberg
1067,Dean Robert Pratt
1068,Mark Ledford
1069,Dick Hyde
1070,James Lloyd
1071,Jerome Richardson
1072,Abraham Laboriel Jr.
1073,Thelma Beach
1074,Charles Pillow
1075,Bill English
1076,Larry Frazier
1077,Daniele Bassi
1078,Stacey Kent
1079,Andrea Pasi
1080,Bill Swindell
1081,Ramses Rodriguez Baralt
1082,Stanley Cowell
1083,Fabien Haimovici
1084,Jan Söderblom
1085,Barry Altschul
1086,Kenny Washington
1087,Tom McIntosh
1088,Tino Tracanna
1089,Anthony Braxton
1090,Mario Rivera
1091,Ron Steward
1092,Xavier Davis
1093,Maysa
1094,Donald Cook
1095,Avery 'Kid' Howard
1096,Gary Valente
1097,Frank Colon
1098,Josie James
1099,David Sanborn
1100,Billy Hart
1101,Eddie Bo
1102,Jim Hughart
1103,Ludovic Navarre
1104,Emanuel Boyd
1105,Claude Deppa
1106,Barbara Simons
1107,Eileen Gilbert
1108,Louann Montesi
1109,London Studio Orchestra
1110,Mick Green
1111,Idrees Suliman
1112,Doug Hall
1113,Bob McChesney
1114,Rick Centalonza
1115,Ollie E. Brown
1116,Bill McHenry
1117,Hal Galper
1118,Robert Randolph
1119,James Chirillo
1120,Jewell Bass
1121,Tibor Zelig
1122,Doug Pettibone
1123,Tom Christensen
1124,Mike Veseglia
1125,Jimmy Young
1126,Derek Watkins
1127,Willem Van Merwijk
1128,Willie Bivens
1129,Jeremy Steig
1130,Fred Gripper
1131,John Simmons
1132,Michael Leonhart
1133,Billy Root
1134,Gregory Morris
1135,Hiram Bullock
1136,Kenny Dennis
1137,Henry Grimes
1138,Leon Pendarvis
1139,Jan Hammer
1140,Eddie Khan
1141,EDC
1142,Kitty Pereira
1143,David Friedman
1144,Judah Samuel
1145,Renee Rosnes
1146,Bernard Sterling
1147,Lorraine Kennar
1148,Lou Marini
1149,Marc Antoine
1150,Terrence Marks
1151,Rudy Williams
1152,Carl Williams Jr.
1153,Buck Clayton
1154,Ricky Ford
1155,Weuz Kaly
1156,Les Paul
1157,Louis Haber
1158,Skip Scarborough
1159,Victor Partajo
1160,Grupo Grupo Changüi De Santiago
1161,Mal-Blak
1162,Joan Henry
1163,Eric Rehl
1164,Carlitos del Puerto
1165,Sam Taylor
1166,Marcus Baylor
1167,Lawrence Mitchell
1168,Joe Sircus
1169,George Butcher
1170,Steve Turre
1171,Marcus Strickland
1172,Wayne Dockery
1173,Pascal Ohse
1174,Ray Barretto
1175,Doug Nally
1176,Julius McKee
1177,Teddy Smith
1178,John Cyr
1179,John Reilly
1180,Felipe LaMoglia
1181,Satu Huuskonen
1182,Ron Janelli
1183,Bluey Maunick
1184,Frank Szabo
1185,Jackie McLean
1186,Andre Hayward
1187,Paul Griffin
1188,Dave Santoro
1189,Mark Belair
1190,Stanley Gilbert
1191,Andy Reinhardt
1192,Eric Krasno
1193,Charles Fillilove
1194,Doug Purviance
1195,Dennis Budimir
1196,Bebo Valdés
1197,Jim Powell
1198,Pedro Baby
1199,Lars Møller
1200,Abraham Burton
1201,Bill Pierce
1202,Earl Neal Creque
1203,Flora Pulim
1204,John Andrew Schreiner
1205,Richard Page
1206,Carlos 'Patato' Valdes
1207,Laymon Jackson
1208,Karen Dirks
1209,Kyle Koehler
1210,Steen Hansen
1211,Arttu Takalo 
1212,Jonathan Paul
1213,Gert Sträuble
1214,Jim Gordon
1215,Bembé Segué
1216,Scott Edwards
1217,Roman Johnson
1218,Louis Alves
1219,Onaje Allan Gumbs
1220,Jimi Tunnell
1221,Phil Dwyer
1222,Harry Pickens
1223,Sir Roland Hanna
1224,Fran García Lanz
1225,Darryl Hall
1226,Andy Delannoy
1227,Ron Stockert
1228,Teppo Mäkynen
1229,Atsushi Osada
1230,Chuck Berghofer
1231,Sonny Emory
1232,Bruce Martin
1233,David Hayes
1234,Leon Pettis
1235,Dianne Reeves
1236,Kevin Johnson
1237,Symphonic Orchestra 'Les Archets De Paris'
1238,Jack Jeffers
1239,Eddie Talamente
1240,Benisuke Sakai
1241,Rick Baptist
1242,Johnny Scott
1243,Booker Ervin
1244,Thierry Eliez
1245,Sondra Walston
1246,Pete King
1247,Tina Brooks
1248,Mounir Troudi
1249,George Guesnon
1250,Al Turner
1251,Kevin Brandon
1252,Shirley Caesar
1253,David Kalish
1254,Clarence 'Gatemouth' Brown
1255,Joe Williams
1256,Roy Ayers
1257,Benjamin Bossi
1258,Dj Spooky
1259,Leon Henderson
1260,Vernel Fournier
1261,Kelly Sweet
1262,Jim Keltner
1263,Eddie Nicholson
1264,John Lowe
1265,Margie Evans
1266,Gregory Davis
1267,Byard Lancaster
1268,Geri Allen
1269,Ray Jackson
1270,Rick Chamberlain
1271,Masabumi Kikuchi
1272,Janice Gower
1273,Alex Lilly
1274,Elmo Hope
1275,Roland Hartwell
1276,Michel Benita
1277,Miro Tesevic
1278,Uffe Markussen
