Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Society,FALSE,Blue Note 28; BLP 7007; B-6504; B-6509; (J) NR-8102; Mosaic MR6-109,1943,1943,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blues At Blue Note (alternate take),TRUE,Mosaic MR6-109,1943,1985,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blues At Blue Note,FALSE,Blue Note 28; BLP 7007; B-6504; (J) NR-8102; Mosaic MR6-109,1943,1943,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Shift Blues (alternate take),TRUE,Mosaic MR6-109,1943,1985,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night Shift Blues,FALSE,Blue Note 29; BLP 7007; B-6504; B-6509; (J) NR-8102; Mosaic MR6-109,1943,1943,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Garden Blues (alternate take),TRUE,Mosaic MR6-109,1943,1985,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Garden Blues,FALSE,Blue Note 29; BLP 7007; B-6504; (J) NR-8102; Mosaic MR6-109,1943,1943,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Note Boogie,FALSE,Mosaic MR6-109,1943,1985,ISSUED,Sidney DeParis,Vic Dickenson,Edmond Hall,James P. Johnson,Jimmy Shirley,Israel Crosby,Sidney Catlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mule Walk-Stomp,FALSE,Blue Note 27; BLP 7011; BST 89902; Mosaic MR6-109,1943,1944,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansaw Blues,FALSE,Blue Note 27; BLP 7011; Mosaic MR6-109,1943,1944,ISSUED,James P. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
